iter	Passed	Remaining
958	30894	1320
959	30927	1288
960	30959	1256
961	30990	1224
962	31017	1191
963	31050	1159
964	31078	1127
965	31114	1095
966	31151	1063
967	31179	1030
968	31205	998
969	31234	966
970	31262	933
971	31291	901
972	31326	869
973	31360	837
974	31389	804
975	31420	772
976	31448	740
977	31479	708
978	31504	675
979	31535	643
980	31565	611
981	31594	579
982	31621	546
983	31646	514
984	31677	482
985	31706	450
986	31739	418
987	31769	385
988	31798	353
989	31829	321
990	31862	289
991	31893	257
992	31932	225
993	31961	192
994	31994	160
995	32022	128
996	32051	96
997	32082	64
998	32109	32
999	32140	0
